"C:\Program Files\Java\jdk1.8.0_162\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.4\lib\idea_rt.jar=51272:C:\Program Files\JetBrains\IntelliJ IDEA 2018.1.4\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_162\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_162\jre\lib\rt.jar;D:\3_Dev\MS\connectionist_computing\assignments\project\mlp\target\classes" experiments.SinExperiment
Epoch;Loss
1;0.13201012857190103
2;0.07994872375362166
3;0.07779673523175103
4;0.07674722214961216
5;0.0761414842388641
6;0.07575304538508781
7;0.07548979230922938
8;0.07530781952146437
9;0.07518268440380121
10;0.07509884201012544
11;0.07504542580264148
12;0.07501439978264234
13;0.07499965038398905
14;0.07499647558265012
15;0.07500125672573275
16;0.07501122457529014
17;0.07502428100876465
18;0.07503885817396176
19;0.07505380544463475
20;0.07506829827096187
21;0.07508176478909376
22;0.07509382699757283
23;0.07510425389868138
24;0.07511292443292562
25;0.07511979838265952
26;0.07512489371690174
27;0.07512826910566914
28;0.0751300105538151
29;0.07513022129450375
30;0.07512901424378089
31;0.07512650645305148
32;0.0751228151086175
33;0.07511805471976989
34;0.07511233521216164
35;0.07510576070399619
36;0.07509842879137185
37;0.07509043020803334
38;0.07508184875563538
39;0.07507276142494296
40;0.07506323864747308
41;0.07505334463197792
42;0.07504313775173707
43;0.07503267095757546
44;0.0750219921984027
45;0.07501114483633706
46;0.0750001680474784
47;0.07498909720242088
48;0.07497796422285628
49;0.07496679791229961
50;0.0749556242601915
51;0.07494446671951695
52;0.0749333464586937
53;0.07492228258890514
54;0.07491129236831974
55;0.0749003913847949
56;0.07488959371873838
57;0.0748789120878124
58;0.07486835797513691
59;0.07485794174259072
60;0.07484767273072745
61;0.0748375593467351
62;0.07482760914176775
63;0.07481782887887879
64;0.07480822459268201
65;0.07479880164177118
66;0.07478956475483227
67;0.07478051807129243
68;0.07477166517726552
69;0.07476300913747438
70;0.07475455252375444
71;0.07474629744067791
72;0.07473824554877126
73;0.07473039808574249
74;0.07472275588608203
75;0.07471531939935032
76;0.07470808870742336
77;0.07470106354092616
78;0.07469424329504722
79;0.0746876270448956
80;0.07468121356053234
81;0.07467500132178002
82;0.07466898853289344
83;0.07466317313715112
84;0.07465755283141039
85;0.07465212508065118
86;0.07464688713252318
87;0.07464183603189306
88;0.07463696863538594
89;0.0746322816258994
90;0.07462777152706732
91;0.07462343471764268
92;0.07461926744576385
93;0.07461526584306825
94;0.07461142593861426
95;0.07460774367256952
96;0.07460421490962897
97;0.07460083545211962
98;0.07459760105275798
99;0.07459450742702049
100;0.07459155026509755
101;0.07458872524339719
102;0.07458602803557232
103;0.07458345432304767
104;0.07458099980502468
105;0.07457866020794807
106;0.07457643129441907
107;0.0745743088715474
108;0.07457228879873283
109;0.07457036699487533
110;0.07456853944501281
111;0.07456680220638884
112;0.07456515141395814
113;0.07456358328533706
114;0.07456209412521088
115;0.07456068032921075
116;0.07455933838727646
117;0.07455806488652117
118;0.07455685651361742
119;0.07455571005672472
120;0.07455462240697792
121;0.07455359055956046
122;0.07455261161438374
123;0.07455168277639536
124;0.07455080135554014
125;0.07454996476639662
126;0.07454917052751284
127;0.07454841626046345
128;0.07454769968865232
129;0.07454701863588108
130;0.07454637102470704
131;0.0745457548746105
132;0.07454516829999201
133;0.07454460950801935
134;0.07454407679634337
135;0.07454356855069966
136;0.07454308324241433
137;0.07454261942582933
138;0.07454217573566227
139;0.07454175088431628
140;0.07454134365915235
141;0.07454095291973672
142;0.07454057759507536
143;0.07454021668084616
144;0.0745398692366386
145;0.07453953438321016
146;0.07453921129976736
147;0.07453889922127954
148;0.07453859743583147
149;0.07453830528202166
150;0.07453802214641071
151;0.07453774746102537
152;0.07453748070092192
153;0.07453722138181286
154;0.07453696905775922
155;0.07453672331893224
156;0.07453648378944505
157;0.0745362501252573
158;0.07453602201215286
